Scenario ID,Scenario Name,Method,Method Type,Solution ID,Seed,Population,Variable,Kruskal-Wallis H,Kruskal-Wallis P-Value,Epsilon-Squared,Cluster Median Range,N Evaluated,Evaluation Coverage,Benjamini-Hochberg Adjusted P-Value
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=25|ms=5,,HDBSCAN assigned subset,Log10 MarketCap,0.4160404487465712,0.5189194250396783,0.0,0.019515932002768466,367,1.0,0.5361347614154022
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=25|ms=10,,All companies including noise,Log10 Total Revenue,83.26081101680415,8.32040772037172e-19,0.18426487758912508,1.1126151312922916,444,1.0,3.297907060074609e-18
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=25|ms=10,,All companies including noise,Log10 MarketCap,17.622689239092097,0.00014903272883246793,0.03542559918161473,0.39723898796382606,444,1.0,0.00020305709303423757
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=25|ms=10,,HDBSCAN assigned subset,Log10 Total Revenue,55.02280318420662,1.1913952889483312e-13,0.16725326063221865,1.1126151312922916,325,1.0,3.509786121496435e-13
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=25|ms=10,,HDBSCAN assigned subset,Log10 MarketCap,2.565495543160978,0.10921832881842197,0.004846735427742966,0.06969312933070348,325,1.0,0.12086089178891364
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=25|ms=15,,All companies including noise,Log10 Total Revenue,114.10524672912175,1.6686317183925372e-25,0.25420690868281576,1.168277325891526,444,1.0,1.2991489807484754e-24
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=25|ms=15,,All companies including noise,Log10 MarketCap,32.82140839818089,7.463142296233208e-08,0.06988981496186143,0.5204424281561142,444,1.0,1.3015720164630716e-07
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=25|ms=15,,HDBSCAN assigned subset,Log10 Total Revenue,53.63505861766316,2.414127183840214e-13,0.15998498060079988,1.168277325891526,331,1.0,6.497280568853909e-13
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,Density-based,HDBSCAN|mcs=25|ms=15,,HDBSCAN assigned subset,Log10 MarketCap,3.787644755775659,0.051632252645464,0.008473084364059755,0.1317125673743984,331,1.0,0.06184522569621512
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Autoencoder + K-Means,Neural full-assignment,Autoencoder + K-Means|K=4,42.0,All eligible companies,Log10 Total Revenue,128.50836324161628,1.1337313449974923e-27,0.28524628009458247,1.2342191490697072,444,1.0,1.1769211105212064e-26
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Autoencoder + K-Means,Neural full-assignment,Autoencoder + K-Means|K=4,42.0,All eligible companies,Log10 MarketCap,19.234568489254116,0.0002445021057877142,0.03689674656648663,0.3273627278639193,444,1.0,0.00032902135223285
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,DEC,Neural full-assignment,DEC|K=4,42.0,All eligible companies,Log10 Total Revenue,129.7824292060759,6.025041851291024e-28,0.28814188455926343,1.3421790091764105,444,1.0,6.912942755691806e-27
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,DEC,Neural full-assignment,DEC|K=4,42.0,All eligible companies,Log10 MarketCap,20.73533265739843,0.00011947580926813921,0.04030757422136007,0.42316130054436485,444,1.0,0.00016589634662709778
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Autoencoder + K-Means,Neural full-assignment,Autoencoder + K-Means|K=4,456.0,All eligible companies,Log10 Total Revenue,99.46084912294555,2.0296429183320586e-21,0.21922920255214898,1.0294869615479811,444,1.0,1.0055958095372471e-20
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Autoencoder + K-Means,Neural full-assignment,Autoencoder + K-Means|K=4,456.0,All eligible companies,Log10 MarketCap,17.98642877245129,0.0004426935078680465,0.03406006539193475,0.4999153751369221,444,1.0,0.0005884584433855741
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,DEC,Neural full-assignment,DEC|K=4,456.0,All eligible companies,Log10 Total Revenue,102.72936663574251,4.0230583456638712e-22,0.22665765144486932,1.063955382884643,444,1.0,2.1390895594017655e-21
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,DEC,Neural full-assignment,DEC|K=4,456.0,All eligible companies,Log10 MarketCap,21.734021015005055,7.409413038955289e-05,0.04257732048864785,0.6045111319288061,444,1.0,0.00010354179759565723
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Autoencoder + K-Means,Neural full-assignment,Autoencoder + K-Means|K=4,2026.0,All eligible companies,Log10 Total Revenue,132.42252008372225,1.6254714882025528e-28,0.29414209109936873,1.2201304127504367,444,1.0,2.0844281436950382e-27
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Autoencoder + K-Means,Neural full-assignment,Autoencoder + K-Means|K=4,2026.0,All eligible companies,Log10 MarketCap,56.85991008982069,2.7530653881443202e-12,0.1224088865677743,0.8583061853184706,444,1.0,6.384768666121934e-12
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,DEC,Neural full-assignment,DEC|K=4,2026.0,All eligible companies,Log10 Total Revenue,132.42433927992533,1.6240046248971398e-28,0.2941462256361939,1.1720882905087793,444,1.0,2.0844281436950382e-27
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,DEC,Neural full-assignment,DEC|K=4,2026.0,All eligible companies,Log10 MarketCap,52.53945471038173,2.2984086590911807e-11,0.11258966979632212,0.7641075044140386,444,1.0,5.112786608998749e-11
industrials_revenue_20m,Industrials companies with revenue >= $20M,K-Means,Traditional full-assignment,K-Means|K=3,,All eligible companies,Log10 Total Revenue,104.61832458135427,1.9161057060247605e-23,0.1825948835967158,1.331514371189133,565,1.0,1.305347012229368e-22
industrials_revenue_20m,Industrials companies with revenue >= $20M,K-Means,Traditional full-assignment,K-Means|K=3,,All eligible companies,Log10 MarketCap,56.857359395037065,4.503822638524509e-13,0.09761095977764603,1.2056573728361712,565,1.0,1.1310229847728108e-12
industrials_revenue_20m,Industrials companies with revenue >= $20M,Agglomerative,Traditional full-assignment,Agglomerative|K=3,,All eligible companies,Log10 Total Revenue,85.36740802674345,2.902036562682568e-19,0.14834058367747943,1.313376477209153,565,1.0,1.2404783738525487e-18
