Scenario ID,Scenario Name,Method,Method Type,Solution ID,Seed,Population,Cluster,KPI,N Companies in Cluster,Imputed Observations,Imputation Rate
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN,Density-based,HDBSCAN|mcs=15|ms=5,,All companies including noise,-1,Debt Ratio,113,2,0.017699115044247787
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN,Density-based,HDBSCAN|mcs=15|ms=5,,All companies including noise,-1,Free Cash Flow Margin,113,0,0.0
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN,Density-based,HDBSCAN|mcs=15|ms=5,,All companies including noise,-1,Operating Cash Flow Margin,113,1,0.008849557522123894
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN,Density-based,HDBSCAN|mcs=15|ms=5,,All companies including noise,0,EBITDA Margin,456,0,0.0
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN,Density-based,HDBSCAN|mcs=15|ms=5,,All companies including noise,0,Return on Assets,456,0,0.0
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN,Density-based,HDBSCAN|mcs=15|ms=5,,All companies including noise,0,Asset Turnover,456,0,0.0
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN,Density-based,HDBSCAN|mcs=15|ms=5,,All companies including noise,0,Revenue per Employee,456,21,0.046052631578947366
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN,Density-based,HDBSCAN|mcs=15|ms=5,,All companies including noise,0,Current Ratio,456,1,0.0021929824561403508
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN,Density-based,HDBSCAN|mcs=15|ms=5,,All companies including noise,0,Debt Ratio,456,9,0.019736842105263157
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN,Density-based,HDBSCAN|mcs=15|ms=5,,All companies including noise,0,Free Cash Flow Margin,456,1,0.0021929824561403508
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN,Density-based,HDBSCAN|mcs=15|ms=5,,All companies including noise,0,Operating Cash Flow Margin,456,2,0.0043859649122807015
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN,Density-based,HDBSCAN|mcs=15|ms=5,,All companies including noise,1,EBITDA Margin,18,0,0.0
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN,Density-based,HDBSCAN|mcs=15|ms=5,,All companies including noise,1,Return on Assets,18,0,0.0
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN,Density-based,HDBSCAN|mcs=15|ms=5,,All companies including noise,1,Asset Turnover,18,0,0.0
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN,Density-based,HDBSCAN|mcs=15|ms=5,,All companies including noise,1,Revenue per Employee,18,1,0.05555555555555555
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN,Density-based,HDBSCAN|mcs=15|ms=5,,All companies including noise,1,Current Ratio,18,0,0.0
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN,Density-based,HDBSCAN|mcs=15|ms=5,,All companies including noise,1,Debt Ratio,18,0,0.0
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN,Density-based,HDBSCAN|mcs=15|ms=5,,All companies including noise,1,Free Cash Flow Margin,18,0,0.0
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN,Density-based,HDBSCAN|mcs=15|ms=5,,All companies including noise,1,Operating Cash Flow Margin,18,0,0.0
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN,Density-based,HDBSCAN|mcs=15|ms=5,,HDBSCAN assigned subset,0,EBITDA Margin,456,0,0.0
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN,Density-based,HDBSCAN|mcs=15|ms=5,,HDBSCAN assigned subset,0,Return on Assets,456,0,0.0
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN,Density-based,HDBSCAN|mcs=15|ms=5,,HDBSCAN assigned subset,0,Asset Turnover,456,0,0.0
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN,Density-based,HDBSCAN|mcs=15|ms=5,,HDBSCAN assigned subset,0,Revenue per Employee,456,21,0.046052631578947366
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN,Density-based,HDBSCAN|mcs=15|ms=5,,HDBSCAN assigned subset,0,Current Ratio,456,1,0.0021929824561403508
