Scenario ID,Scenario Name,Method,Selection Objective,Configuration ID,Selection Count,Selection Share
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,Gaussian Mixture,Maximum common-space Silhouette,Gaussian Mixture|K=2,20,1.0
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,Gaussian Mixture,Minimum AIC,Gaussian Mixture|K=10,15,0.75
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,Gaussian Mixture,Minimum AIC,Gaussian Mixture|K=8,2,0.1
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,Gaussian Mixture,Minimum AIC,Gaussian Mixture|K=9,3,0.15
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,Gaussian Mixture,Minimum BIC,Gaussian Mixture|K=10,2,0.1
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,Gaussian Mixture,Minimum BIC,Gaussian Mixture|K=7,10,0.5
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,Gaussian Mixture,Minimum BIC,Gaussian Mixture|K=8,7,0.35
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,Gaussian Mixture,Minimum BIC,Gaussian Mixture|K=9,1,0.05
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,HDBSCAN,HDBSCAN balanced frontier leader,HDBSCAN|mcs=10|ms=10,9,0.45
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,HDBSCAN,HDBSCAN balanced frontier leader,HDBSCAN|mcs=10|ms=15,2,0.1
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,HDBSCAN,HDBSCAN balanced frontier leader,HDBSCAN|mcs=10|ms=5,9,0.45
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,HDBSCAN,HDBSCAN coverage leader,HDBSCAN|mcs=10|ms=10,8,0.4
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,HDBSCAN,HDBSCAN coverage leader,HDBSCAN|mcs=10|ms=15,8,0.4
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,HDBSCAN,HDBSCAN coverage leader,HDBSCAN|mcs=10|ms=5,3,0.15
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,HDBSCAN,HDBSCAN coverage leader,HDBSCAN|mcs=20|ms=5,1,0.05
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,HDBSCAN,HDBSCAN separation leader,HDBSCAN|mcs=10|ms=10,5,0.25
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,HDBSCAN,HDBSCAN separation leader,HDBSCAN|mcs=10|ms=15,6,0.3
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,HDBSCAN,HDBSCAN separation leader,HDBSCAN|mcs=10|ms=5,6,0.3
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,HDBSCAN,HDBSCAN separation leader,HDBSCAN|mcs=15|ms=5,3,0.15
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,K-Means,Maximum common-space Silhouette,K-Means|K=2,20,1.0
technology_revenue_25m,Technology companies with revenue >= $25M,Agglomerative,Maximum common-space Silhouette,Agglomerative|K=2,11,0.55
technology_revenue_25m,Technology companies with revenue >= $25M,Agglomerative,Maximum common-space Silhouette,Agglomerative|K=3,9,0.45
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment traditional comparison,Maximum common-space Silhouette,Agglomerative|K=2,7,0.35
