Experiment Phase,Preprocessing Version,Scenario ID,Scenario Name,Candidate Role,Candidate ID,Method,K,Run A,Run B,N Shared Companies,N Evaluated Companies,Pairwise Evaluation Coverage,ARI,NMI
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,2,10004,10012,377,377,1.0,0.5288426978066662,0.39547026763567267
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,2,10004,10013,380,380,1.0,0.7304076416694604,0.5406716402091721
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,2,10004,10014,375,375,1.0,0.9079744701160307,0.8104414682604002
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,2,10004,10015,378,378,1.0,0.8173386367132921,0.6649558576011765
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,2,10004,10016,372,372,1.0,0.43839379100469894,0.2919533960572269
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,2,10004,10017,374,374,1.0,0.3652025891969403,0.279524005347822
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,2,10004,10018,377,377,1.0,0.4982379906070846,0.34652056516044893
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,2,10004,10019,384,384,1.0,0.520294730512751,0.34430944713973277
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,2,10005,10006,378,378,1.0,0.7288848212771162,0.569171512889476
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,2,10005,10007,379,379,1.0,0.5827987207123121,0.42481868446023424
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,2,10005,10008,371,371,1.0,0.6017225528357301,0.5234155943407456
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,2,10005,10009,381,381,1.0,0.660269735632741,0.5731869506665566
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,2,10005,10010,377,377,1.0,0.7789409302317231,0.6823471165229815
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,2,10005,10011,375,375,1.0,0.9457960905068734,0.8889426228867852
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,2,10005,10012,373,373,1.0,0.6555816803552443,0.4982287599798197
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,2,10005,10013,376,376,1.0,0.6047453476947144,0.5017674162418636
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,2,10005,10014,377,377,1.0,0.561622847684605,0.36215066702340176
Canonical cross-cohort robustness,scenario_pipeline_v3_economic_validity,technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,2,10005,10015,367,367,1.0,0.6919023006823635,0.5827244919505162
