Scenario ID,Scenario Name,Method,Method Type,Solution ID,Seed,Population,Variable,Bias-Corrected Cramer's V,Adjusted Mutual Information,Chi-Square P-Value,Contingency Rows,Contingency Columns,Expected Cells Below 5 Share,N Evaluated,Benjamini-Hochberg Adjusted P-Value
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,DEC,Neural full-assignment,DEC|K=4,456.0,All eligible companies,Industry,0.4112335010527896,0.1566817445782822,2.794056453207181e-37,4,11,0.3409090909090909,444,5.834647299344408e-37
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Autoencoder + K-Means,Neural full-assignment,Autoencoder + K-Means|K=4,2026.0,All eligible companies,Sector,,,,4,1,,444,
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Autoencoder + K-Means,Neural full-assignment,Autoencoder + K-Means|K=4,2026.0,All eligible companies,Industry,0.39017941139971,0.1416085208296847,5.481448799369751e-33,4,11,0.38636363636363635,444,1.0518455804196009e-32
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,DEC,Neural full-assignment,DEC|K=4,2026.0,All eligible companies,Sector,,,,4,1,,444,
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,DEC,Neural full-assignment,DEC|K=4,2026.0,All eligible companies,Industry,0.3750504789855735,0.14265884817791985,4.4947996386331146e-30,4,11,0.36363636363636365,444,8.398178272182925e-30
industrials_revenue_20m,Industrials companies with revenue >= $20M,K-Means,Traditional full-assignment,K-Means|K=3,,All eligible companies,Sector,,,,3,1,,565,
industrials_revenue_20m,Industrials companies with revenue >= $20M,K-Means,Traditional full-assignment,K-Means|K=3,,All eligible companies,Industry,0.29281586090276424,0.03901400931770762,1.2772674294672575e-11,3,25,0.6266666666666667,565,1.511433124869588e-11
industrials_revenue_20m,Industrials companies with revenue >= $20M,Agglomerative,Traditional full-assignment,Agglomerative|K=3,,All eligible companies,Sector,,,,3,1,,565,
industrials_revenue_20m,Industrials companies with revenue >= $20M,Agglomerative,Traditional full-assignment,Agglomerative|K=3,,All eligible companies,Industry,0.2769640000401041,0.03596738703021662,3.990881172782442e-10,3,25,0.64,565,4.533641012280854e-10
industrials_revenue_20m,Industrials companies with revenue >= $20M,Gaussian Mixture,Traditional full-assignment,Gaussian Mixture|K=2,,All eligible companies,Sector,,,,2,1,,565,
industrials_revenue_20m,Industrials companies with revenue >= $20M,Gaussian Mixture,Traditional full-assignment,Gaussian Mixture|K=2,,All eligible companies,Industry,0.3586882103425589,0.038882340522380085,1.132463479472697e-10,2,25,0.22,565,1.296853339396153e-10
industrials_revenue_20m,Industrials companies with revenue >= $20M,HDBSCAN,Density-based,HDBSCAN|mcs=10|ms=10,,All companies including noise,Sector,,,,4,1,,565,
industrials_revenue_20m,Industrials companies with revenue >= $20M,HDBSCAN,Density-based,HDBSCAN|mcs=10|ms=10,,All companies including noise,Industry,0.3063678633426269,0.043676847103052606,1.838603613730611e-18,4,25,0.7,565,2.8690298148323825e-18
industrials_revenue_20m,Industrials companies with revenue >= $20M,HDBSCAN,Density-based,HDBSCAN|mcs=10|ms=10,,HDBSCAN assigned subset,Sector,,,,3,1,,460,
industrials_revenue_20m,Industrials companies with revenue >= $20M,HDBSCAN,Density-based,HDBSCAN|mcs=10|ms=10,,HDBSCAN assigned subset,Industry,0.42544671256174815,0.036856530235086664,3.871409032605517e-23,3,24,0.6944444444444444,460,6.958735223164347e-23
industrials_revenue_20m,Industrials companies with revenue >= $20M,HDBSCAN,Density-based,HDBSCAN|mcs=15|ms=5,,All companies including noise,Sector,,,,3,1,,565,
industrials_revenue_20m,Industrials companies with revenue >= $20M,HDBSCAN,Density-based,HDBSCAN|mcs=15|ms=5,,All companies including noise,Industry,0.17927285874941135,0.02047707405647586,0.0009452328243230169,3,25,0.64,565,0.0010168413716202152
industrials_revenue_20m,Industrials companies with revenue >= $20M,HDBSCAN,Density-based,HDBSCAN|mcs=15|ms=5,,HDBSCAN assigned subset,Sector,,,,2,1,,489,
industrials_revenue_20m,Industrials companies with revenue >= $20M,HDBSCAN,Density-based,HDBSCAN|mcs=15|ms=5,,HDBSCAN assigned subset,Industry,0.19009035091060256,0.009427144453668093,0.01287773833044418,2,24,0.5208333333333334,489,0.013646558529276669
industrials_revenue_20m,Industrials companies with revenue >= $20M,HDBSCAN,Density-based,HDBSCAN|mcs=20|ms=5,,All companies including noise,Sector,,,,3,1,,565,
industrials_revenue_20m,Industrials companies with revenue >= $20M,HDBSCAN,Density-based,HDBSCAN|mcs=20|ms=5,,All companies including noise,Industry,0.17927285874941135,0.02047707405647586,0.0009452328243230169,3,25,0.64,565,0.0010168413716202152
