Scenario ID,Scenario Name,Candidate Role,Candidate ID,Method,Reference Cluster,Reference Cluster Share,Median Resampled Cluster Share,Empirical 10th Percentile Cluster Share,Empirical 90th Percentile Cluster Share,Minimum Cluster Share,Maximum Cluster Share,Median Shared-Company Jaccard,Minimum Shared-Company Jaccard,Aligned Run Count,Expected Run Count
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN Pareto representative,HDBSCAN|mcs=15|ms=10,HDBSCAN,0,0.9046153846153846,0.9101123595505618,0.899034000982372,0.9264516452397064,0.8560885608856088,0.93,1.0,0.9956140350877193,19,20
healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN Pareto representative,HDBSCAN|mcs=15|ms=10,HDBSCAN,1,0.09538461538461539,0.08896797153024912,0.07354835476029371,0.09829438624764975,0.07,0.10756972111553785,1.0,0.9583333333333334,19,20
industrials_revenue_20m,Industrials companies with revenue >= $20M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,0,0.8070796460176991,0.7942477876106194,0.7495575221238938,0.8172952196761023,0.7389380530973452,0.8606194690265486,0.9507978723404256,0.8940217391304348,20,20
industrials_revenue_20m,Industrials companies with revenue >= $20M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,1,0.09734513274336283,0.11836283185840708,0.10329709507902088,0.1661504424778761,0.05309734513274336,0.17699115044247787,0.7923789173789173,0.5238095238095238,20,20
industrials_revenue_20m,Industrials companies with revenue >= $20M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,2,0.09557522123893805,0.08287425032721873,0.07300884955752213,0.0973791949898377,0.061946902654867256,0.10176991150442478,0.8675438596491228,0.717948717948718,20,20
industrials_revenue_20m,Industrials companies with revenue >= $20M,Full-assignment candidate,Full Assignment|Gaussian Mixture,Gaussian Mixture,0,0.3752212389380531,0.33849557522123896,0.272787610619469,0.37920353982300886,0.2588495575221239,0.40707964601769914,0.7824261771747805,0.6162790697674418,20,20
industrials_revenue_20m,Industrials companies with revenue >= $20M,Full-assignment candidate,Full Assignment|Gaussian Mixture,Gaussian Mixture,1,0.6247787610619469,0.661504424778761,0.6207964601769912,0.727212389380531,0.5929203539823009,0.7411504424778761,0.8775859976945944,0.8092485549132948,20,20
industrials_revenue_20m,Industrials companies with revenue >= $20M,Full-assignment candidate,Full Assignment|K-Means,K-Means,0,0.0920353982300885,0.09070796460176991,0.08549861603836108,0.09715173181738264,0.07964601769911504,0.09933774834437085,0.942391304347826,0.8571428571428571,20,20
industrials_revenue_20m,Industrials companies with revenue >= $20M,Full-assignment candidate,Full Assignment|K-Means,K-Means,1,0.7946902654867256,0.7845313446248218,0.7738938053097345,0.794999220303302,0.7654867256637168,0.8075221238938053,0.9861694758716232,0.9584487534626038,20,20
industrials_revenue_20m,Industrials companies with revenue >= $20M,Full-assignment candidate,Full Assignment|K-Means,K-Means,2,0.11327433628318584,0.12168141592920353,0.11477330318506102,0.1415929203539823,0.10176991150442478,0.14823008849557523,0.9166666666666667,0.75,20,20
industrials_revenue_20m,Industrials companies with revenue >= $20M,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=10,HDBSCAN,0,0.02826086956521739,0.03007518796992481,0.026483762597984323,0.03767222625090645,0.02631578947368421,0.04060913705583756,1.0,1.0,7,20
industrials_revenue_20m,Industrials companies with revenue >= $20M,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=10,HDBSCAN,1,0.95,0.9694656488549618,0.9336734693877551,0.9709762532981531,0.9137055837563451,0.9736842105263158,0.997134670487106,0.9720670391061452,11,20
industrials_revenue_20m,Industrials companies with revenue >= $20M,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=10,HDBSCAN,2,0.021739130434782608,0.030573298021498677,0.02863599530568906,0.037169270907183166,0.02570694087403599,0.04568527918781726,1.0,0.75,8,20
industrials_revenue_20m,Industrials companies with revenue >= $20M,HDBSCAN Pareto representative,HDBSCAN|mcs=15|ms=5,HDBSCAN,0,0.9550102249488752,0.9421686746987952,0.5910557184750733,0.9604865697089997,0.5263157894736842,0.9622166246851386,0.9726027397260274,0.5263157894736842,19,20
industrials_revenue_20m,Industrials companies with revenue >= $20M,HDBSCAN Pareto representative,HDBSCAN|mcs=15|ms=5,HDBSCAN,1,0.044989775051124746,0.04632152588555858,0.038938300823249485,0.0511166253101737,0.037783375314861464,0.05783132530120482,1.0,0.0,15,20
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,0,0.9254996971532404,0.9254071754639506,0.8762878787878787,0.932883662514624,0.8569265707797123,0.9356548069644209,0.9870128501101589,0.9210740439381611,20,20
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,1,0.07450030284675954,0.07459282453604937,0.0671163374853761,0.12371212121212122,0.0643451930355791,0.14307342922028765,0.8467180051338468,0.48677248677248675,20,20
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,Full-assignment candidate,Full Assignment|Gaussian Mixture,Gaussian Mixture,0,0.6050878255602665,0.6106060606060606,0.585888388043952,0.6283594843208772,0.5583333333333333,0.6305828917486752,0.9741927489452242,0.9265822784810127,20,20
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,Full-assignment candidate,Full Assignment|Gaussian Mixture,Gaussian Mixture,1,0.3949121744397335,0.3893939393939394,0.37164051567912276,0.41411161195604795,0.36941710825132473,0.44166666666666665,0.9602057691410861,0.9013605442176871,20,20
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,Full-assignment candidate,Full Assignment|K-Means,K-Means,0,0.901877649909146,0.9034090909090909,0.8990986511595899,0.9072037368384833,0.8977272727272727,0.9106737320211961,0.9958211442765218,0.9875518672199171,20,20
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,Full-assignment candidate,Full Assignment|K-Means,K-Means,1,0.09812235009085403,0.09659090909090909,0.09279626316151676,0.10090134884041016,0.08932626797880394,0.10227272727272728,0.9613893858079905,0.8846153846153846,20,20
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=15,HDBSCAN,0,0.9558441558441558,0.9578605882101848,0.9544903689933137,0.9656167251175815,0.9522653721682848,0.9661590524534687,1.0,0.998272884283247,20,20
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=15,HDBSCAN,1,0.04415584415584416,0.04213941178981517,0.03438327488241851,0.045509631006686244,0.0338409475465313,0.04773462783171521,1.0,0.9565217391304348,20,20
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=5,HDBSCAN,0,0.9564068692206077,0.9537948762635065,0.9448030786052555,0.9610366488933644,0.8633461047254151,0.9646464646464646,1.0,0.9272976680384087,20,20
non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=5,HDBSCAN,1,0.043593130779392336,0.04620512373649355,0.027867963327658268,0.05343341451734987,0.02356902356902357,0.06896551724137931,1.0,0.6666666666666666,20,20
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,0,0.9080068143100511,0.8434537041237582,0.7693462777298915,0.9151063829787234,0.7409766454352441,0.9275053304904051,0.9196807068900092,0.8169014084507042,20,20
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Agglomerative,Agglomerative,1,0.0919931856899489,0.15654629587624191,0.0848936170212766,0.23065372227010844,0.07249466950959488,0.25902335456475584,0.5375180375180375,0.36585365853658536,20,20
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Gaussian Mixture,Gaussian Mixture,0,0.3730834752981261,0.34434968017057566,0.320061697591072,0.3651866805788686,0.28085106382978725,0.3919491525423729,0.8966658341658342,0.6310160427807486,20,20
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|Gaussian Mixture,Gaussian Mixture,1,0.626916524701874,0.6556503198294243,0.6348133194211314,0.679938302408928,0.6080508474576272,0.7191489361702128,0.9401080945198592,0.8039772727272727,20,20
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|K-Means,K-Means,0,0.8040885860306644,0.8219616204690832,0.7929637526652452,0.8581152472396888,0.7910447761194029,0.8656716417910447,0.973003850407024,0.9331683168316832,20,20
technology_revenue_25m,Technology companies with revenue >= $25M,Full-assignment candidate,Full Assignment|K-Means,K-Means,1,0.19591141396933562,0.17803837953091683,0.14188475276031126,0.20703624733475479,0.13432835820895522,0.208955223880597,0.8852996254681648,0.7065217391304348,20,20
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=10,HDBSCAN,0,0.972972972972973,0.9688311688311688,0.965034965034965,0.9712793733681462,0.5652173913043478,0.973404255319149,1.0,0.5652173913043478,11,20
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=10,HDBSCAN,1,0.02702702702702703,0.030735930735930735,0.028508138436753514,0.034607614607614606,0.026595744680851064,0.03496503496503497,1.0,0.9090909090909091,10,20
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=5,HDBSCAN,0,0.9620253164556962,0.9412827946597946,0.6855257896841264,0.9704329387935945,0.5769230769230769,0.9727047146401985,0.9877085588443881,0.5769230769230769,20,20
technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN Pareto representative,HDBSCAN|mcs=10|ms=5,HDBSCAN,1,0.0379746835443038,0.04251851382998924,0.02826571301981138,0.052213104161281984,0.02729528535980149,0.05275779376498801,1.0,0.0,12,20
